block,model,expr,depth,nodes,gates,n_parameters,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best
RhoA perturbation; Cdc42 response,Hill_expr,(H(R)+R),1,4,1,5,k=5.9939617; c1=-0.027753445; A1=219.81492; K1=1.1383612; h1=19.411048,2126.3795400586123,701.0530701226309,2827.432610181243,23.366808132512222,23.368435670754362,296.769806916979,309.32410444956327,23.368435670754362,23.291050983448226,489.4095891365473
RhoA perturbation; Cdc42 response,Hill_expr,H(H(H(R))),3,4,3,13,k=0.3; c1=15.777515; A1=-29.911548; K1=0.1; h1=1; c2=-0.0093078718; A2=29.911548; K2=1.2; h2=4; c3=-0.0093078718; A3=-29.911548; K3=2.5; h3=6,2675.7421467565373,713.2545966093926,3388.996743365931,29.40375985446744,23.775153220313086,333.6821522660584,366.32332585077745,23.775153220313086,23.69776853300695,526.3219344856267
RhoA perturbation; Cdc42 response,Hill_expr,((R+R)+R),0,5,0,1,k=23.295021,6238.567784117875,2047.6417044605532,8286.20948857843,68.55568993536126,68.25472348201843,386.71582301211043,389.2266825186273,68.25472348201843,68.1773387947123,579.3556052316787
RhoA perturbation; Cdc42 response,Hill_expr,(R+R),0,3,0,1,k=22.046747,6831.032064108188,2245.220272226776,9076.252336334965,75.0662864187713,74.84067574089254,394.97181033249205,397.4826698390089,74.84067574089254,74.7632910535864,587.6115925520603
RhoA perturbation; Cdc42 response,Hill_expr,R,0,1,0,1,k=22.046747,7463.401164578809,2456.3164124302725,9919.71757700908,82.01539741295394,81.87721374767575,403.0285372698837,405.53939677640057,81.87721374767575,81.79982906036962,595.668319489452
RhoA perturbation; Rac1 response,Hill_expr,(H(R)+H(R)),1,5,2,9,k=0.090501361; c1=-0.42678437; A1=382.64868; K1=100; h1=0.42491735; c2=-0.4267838; A2=-47.404564; K2=0.89890094; h2=26.285116,21.914656561435507,8.109816725827354,30.02447328726286,0.24082040177401656,0.27032722419424515,-111.55704981867623,-88.95931426002458,0.27032722419424515,0.0,0.0
RhoA perturbation; Rac1 response,Hill_expr,(H(R)+R),1,4,1,5,k=0.073967213; c1=22.605772; A1=-23.362958; K1=0.89096081; h1=30,796.8295535222962,120.44905094071078,917.2786044630072,8.756368720025234,4.014968364690359,207.450097328997,220.00439486158126,4.014968364690359,3.744641140496114,319.0071471476732
RhoA perturbation; Rac1 response,Hill_expr,H((H(R)+R)),2,5,2,9,k=0.056744104; c1=23.024746; A1=-54.352941; K1=0.26244787; h1=1.0648445; c2=-0.73891283; A2=-19.360024; K2=26.330876; h2=16.534552,813.5183191420618,120.8225500974726,934.3408692395346,8.939761748813867,4.02741833658242,217.33631343166306,239.9340489903147,4.02741833658242,3.7570911123881743,328.8933632503393
RhoA perturbation; Rac1 response,Hill_expr,H(R),1,2,1,5,k=0.065456447; c1=22.897702; A1=-21.067025; K1=0.85595596; h1=29.99999,821.3410177773935,125.57014221308691,946.9111599904804,9.025725470081248,4.185671407102897,210.20717857911876,222.76147611170302,4.185671407102897,3.915344182908652,321.764228397795
RhoA perturbation; Rac1 response,simple_hill,H(R),1,2,1,5,c=22.897697; A=-21.067059; K=0.85595946; h=30; k=0.065457319,821.3410170308211,125.57019520579516,946.9112122366162,9.025725461877155,4.185673173526506,210.20717849640266,222.76147602898692,4.185673173526506,3.91534594933226,321.76422831507887
RhoA perturbation; Rac1 response,Hill_expr,H((R+R)),1,4,1,5,k=0.065453755; c1=22.897646; A1=-21.066347; K1=1.7118846; h1=30,821.3410170604011,125.57094637814332,946.9119634385446,9.02572546220221,4.185698212604778,210.20717849967997,222.76147603226423,4.185698212604778,3.9153709884105323,321.76422831835623
RhoA perturbation; Rac1 response,linear_R,R,0,1,0,3,c=22.493068; A=-1000; k=0.00040123207,1198.68447658031,252.1858437711184,1450.8703203514283,13.172356885497912,8.406194792370615,240.60896171438884,248.1415402339394,8.406194792370615,8.13586756817637,352.1660115330651
RhoA perturbation; Rac1 response,Hill_expr,H(H((R+R))),2,5,2,9,k=0.94350539; c1=-0.99317472; A1=13.453586; K1=1.9114697; h1=22.609924; c2=-1.1490915; A2=80.662314; K2=0.90289049; h2=1.0312586,1355.6740916645078,430.62179048575047,1786.2958821502582,14.897517490818768,14.354059682858349,263.8087074821337,286.40644304078535,14.354059682858349,14.083732458664104,375.36575730080995
RhoA perturbation; Rac1 response,Hill_expr,H(H(R)),2,3,2,9,k=1.0756318; c1=-0.99315122; A1=13.453562; K1=0.049217701; h1=4.5898258; c2=-3.6786439; A2=47.992133; K2=0.31808739; h2=3.630451,1355.6740916640485,430.6217927934611,1786.2958844575098,14.897517490813721,14.354059759782038,263.8087074821028,286.4064430407545,14.354059759782038,14.083732535587792,375.365757300779
RhoA perturbation; Rac1 response,Hill_expr,(H(H(R))+R),2,5,2,9,k=29.997809; c1=-0.99315089; A1=20.356093; K1=3.7165917; h1=3.8848164; c2=-3.7770684; A2=23.954879; K2=2.0142925; h2=0.99779937,1355.6740917172233,430.6222623473103,1786.2963540645335,14.897517491398059,14.35407541157701,263.80870748567224,286.40644304432385,14.35407541157701,14.083748187382765,375.36575730434845
RhoA perturbation; Rac1 response,Hill_expr,H(H(H(R))),3,4,3,13,k=0.3; c1=11.507885; A1=30.884779; K1=0.5; h1=2; c2=-0.33105043; A2=-30.884779; K2=0.5; h2=2; c3=-0.33105043; A3=30.884779; K3=0.5; h3=2,1495.9798049052818,438.8282119537465,1934.8080168590284,16.439338515442657,14.627607065124884,280.7706208803746,313.4117944650937,14.627607065124884,14.357279840930639,392.3276706990508
RhoA perturbation; Rac1 response,Hill_expr,((R+R)+R),0,5,0,1,k=23.295021,2336.3952807143214,795.582594635756,3131.9778753500777,25.67467341444309,26.519419821191867,297.3409582533392,299.85181775985603,26.519419821191867,26.249092596997624,408.8980080720154
RhoA perturbation; Rac1 response,Hill_expr,(R+R),0,3,0,1,k=23.295021,2554.501605612829,870.9969067561279,3425.498512368957,28.07144621552559,29.033230225204264,305.4625148824998,307.97337438901667,29.033230225204264,28.76290300101002,417.019564701176
RhoA perturbation; Rac1 response,Hill_expr,R,0,1,0,1,k=22.046747,2794.5052528472606,953.4550635473547,3747.9603163946153,30.70884893238748,31.78183545157849,313.6341275229274,316.1449870294442,31.78183545157849,31.511508227384248,425.19117734160363
