,ME1,ME2,ME3,ME4,ME5,Age
GSM9308753,0.6285514023333332,0.7114032946666665,0.36645934375,0.2290686925,0.529164810125,4.0
GSM9308754,0.31619986720000004,0.6856809953809523,0.5265524420000001,0.3063511725,0.492772231625,3.0
GSM9308755,0.46333737560000005,0.7716381131904761,0.5158992662499999,0.299894306,0.50700693175,3.0
GSM9308756,0.28887935439999995,0.845608934,0.488066216,0.22661988049999998,0.676279178875,13.0
GSM9308757,0.2432160558666667,0.8512234571428572,0.53487589225,0.345154303,0.6439381497499999,8.0
GSM9308758,0.2847039802,0.8887417834761906,0.6870186075,0.2376916415,0.641120438,10.0
GSM9308759,0.24440633833333333,0.832886368952381,0.686860627,0.158541191,0.6628359580000001,14.0
GSM9308760,0.2729928748666666,0.8537775495238094,0.54353235525,0.37775590400000003,0.671292343625,10.0
GSM9308761,0.5992001114000001,0.6239586395714286,0.5278945070000001,0.44277806399999997,0.41071839275,7.0
GSM9308762,0.24661721493333336,0.849098373047619,0.43064017800000004,0.2070359075,0.671623940875,10.0
GSM9308763,0.2741751710666667,0.8400913376190476,0.626429711,0.19333500250000002,0.6419487515000001,9.0
