block,model,expr,depth,nodes,gates,n_parameters,N_T,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best,DeltaBIC_from_best
Rac1 perturbation; Cdc42 response,EML_expr,((R+R)+R),0,5,0,3,91,y0=3.8270669; B=6.9087566; k=36.939577,570.7083228968957,191.5255007920709,762.2338236889666,6.271520031834018,6.3841833597356965,173.07770666707214,180.6102851866227,6.3841833597356965,6.255702055876675,389.2472546288501,374.182097589749
Rac1 perturbation; Cdc42 response,EML_expr,(R+R),0,3,0,3,91,y0=3.8270674; B=10.363135; k=37.564331,570.7083228968668,191.5255204255906,762.2338433224575,6.271520031833701,6.384184014186354,173.07770666706756,180.6102851866181,6.384184014186354,6.255702710327332,389.24725462884555,374.18209758974444
Rac1 perturbation; Cdc42 response,linear_R,R,0,1,0,3,91,y0=3.8270747; B=20.726262; k=53.122788,570.7083228968064,191.5256042437383,762.2339271405448,6.271520031833037,6.38418680812461,173.07770666705792,180.61028518660848,6.38418680812461,6.255705504265588,389.2472546288359,374.1820975897348
Rac1 perturbation; Cdc42 response,hill,R^h/(K^h+R^h),0,1,0,5,91,y0=3.8270737; B=34.219005; K=0.82447014; h=2.2239265; k=54.957393,570.7083228968064,191.5256043168596,762.2339272136661,6.271520031833037,6.384186810561987,177.07770666705792,189.63200419964218,6.384186810561987,6.255705506702966,393.2472546288359,383.2038166027685
Rac1 perturbation; Cdc42 response,EML_expr,R,0,1,0,3,91,y0=3.8270747; B=20.726262; k=59.984193,570.7083228968063,191.52560471949914,762.2339276163054,6.271520031833036,6.384186823983304,173.07770666705792,180.61028518660848,6.384186823983304,6.255705520124283,389.2472546288359,374.1820975897348
Rac1 perturbation; RhoA response,EML_expr,G((G(R)+R)),2,5,2,9,91,y0=-1.3720375; B=220.79066; k=0.21317379; a1=0.50623208; b1=0.86808716; c1=1.8310311e-08; a2=74.857446; b2=0.76486191; c2=3.3357706e-05,6.703976602994557,2.094980835314951,8.79895743830951,0.07367007256037975,0.06983269451049837,-219.34243563484426,-196.7447000761926,0.06983269451049837,0.0,4.2552173497703905,6.76607685628727
Rac1 perturbation; RhoA response,double_hill,(H(R)+H(R)),1,3,0,8,91,y0=-1.3794266; k=0.096478453; B1=81.609632; K1=0.11673491; h1=0.63306895; B2=-61.539021; K2=0.91275113; h2=30,6.539876391627188,2.2119158442140603,8.751792235841249,0.0718667735343647,0.07373052814046868,-223.59765298461465,-203.51077693247987,0.07373052814046868,0.0038978336299703154,0.0,0.0
Rac1 perturbation; RhoA response,EML_expr,G(G(R)),2,3,2,9,91,y0=-1.4241072; B=-5.7491124; k=0.23058016; a1=717.30295; b1=11.551856; c1=0.058333043; a2=0.34631743; b2=0.055126641; c2=2.0547701e-12,6.753458985968329,2.9345447983764514,9.688003784344781,0.07421383501064098,0.09781815994588171,-218.67322683736404,-196.07549127871238,0.09781815994588171,0.02798546543538334,4.924426147250614,7.435285653767494
Rac1 perturbation; RhoA response,EML_expr,G(G(G(R))),3,4,3,12,91,y0=-1.3325791; B=55.339373; k=0.24286288; a1=0.36039025; b1=0.13148905; c1=3.0519099e-19; a2=1.9047916; b2=1.6249708; c2=0.77355269; a3=98.224576; b3=2.5528721; c3=0.0094333819,13.495343777928184,5.414519168561086,18.909862946489273,0.1483004810761339,0.18048397228536955,-149.67484551732278,-119.54453143912059,0.18048397228536955,0.11065127777487119,73.92280746729188,83.96624549335928
Rac1 perturbation; RhoA response,EML_expr,(G(R)+G(R)),1,5,2,9,91,y0=-1.5064059; B=-177700.81; k=0.094432988; a1=1.1328726; b1=0.7720944; c1=0.24143132; a2=0.48476534; b2=0.7623685; c2=0.67874023,61.097542773182774,21.08056981222167,82.17811258540443,0.6714015689360744,0.7026856604073889,-18.25329504398345,4.3444405146682,0.7026856604073889,0.6328529658968906,205.3443579406312,207.85521744714808
Rac1 perturbation; RhoA response,EML_expr,G(G((R+R))),2,5,2,9,91,y0=-0.037377862; B=-13.308207; k=0.11861169; a1=41.151476; b1=6.0311036; c1=0.12522969; a2=0.57384507; b2=0.28566022; c2=4.5878272e-10,61.5398913989189,21.320294638634287,82.86018603755318,0.6762625428452625,0.7106764879544762,-17.596825022664483,5.000910535987167,0.7106764879544762,0.6408437934439779,206.00082796195016,208.51168746846704
Rac1 perturbation; RhoA response,EML_expr,(G(G(R))+R),2,5,2,9,91,y0=1.5985732; B=28.79629; k=0.25805782; a1=0.33639495; b1=0.43869203; c1=5.4556352; a2=180.53294; b2=7.1531184; c2=0.012423733,72.51847874272187,33.862275121989796,106.38075386471166,0.7969063598101305,1.1287425040663266,-2.658646910943105,19.939088647708544,1.1287425040663266,1.0589098095558283,220.93900607367155,223.44986558018843
Rac1 perturbation; RhoA response,EML_expr,(G(R)+R),1,4,1,6,91,y0=3.2278701; B=-54.27623; k=0.29974567; a1=1000; b1=2.1198513; c1=5.732711e-09,103.76918338052137,34.71222604508884,138.4814094256102,1.1403206964892458,1.1570742015029614,23.949167735529358,39.01432477463045,1.1570742015029614,1.087241506992463,247.546820720144,242.5251017071103
Rac1 perturbation; RhoA response,EML_expr,G(R),1,2,1,6,91,y0=3.22787; B=-54.276541; k=0.29974567; a1=1000; b1=1.1198449; c1=4.2895772e-12,103.76918333849825,34.71222627360598,138.48140961210424,1.1403206960274532,1.1570742091201993,23.949167698677332,39.01432473777843,1.1570742091201993,1.087241514609701,247.546820683292,242.5251016702583
Rac1 perturbation; RhoA response,EML_expr,G((R+R)),1,4,1,6,91,y0=-0.57562142; B=2956.305; k=0.047655596; a1=0.96624856; b1=0.98107409; c1=3.0304903e-38,142.4691079239865,51.93340277496416,194.4025106989507,1.5655945925712804,1.7311134258321386,52.79217717046521,67.8573342095663,1.7311134258321386,1.6612807313216402,276.38983015507984,271.3681111420462
Rac1 perturbation; RhoA response,hill,R^h/(K^h+R^h),0,1,0,5,91,y0=-1.3762857; B=34.637431; K=0.79743322; h=2.256014; k=54.077418,2580.148004991597,840.2212292681877,3420.369234259785,28.353274780127443,28.00737430893959,314.37157077866124,326.9258683112455,28.00737430893959,27.93754161442909,537.9692237632759,530.4366452437254
Rac1 perturbation; RhoA response,EML_expr,R,0,1,0,3,91,y0=-1.37629; B=21.647095; k=40.301097,2580.1480049916413,840.221237509083,3420.3692425007243,28.353274780127926,28.0073745836361,310.3715707786628,317.9041492982133,28.0073745836361,27.9375418891256,533.9692237632775,521.4149262306933
